time,grid_load,soc
141.0,23.0,74.18666666666664
142.0,23.0,74.35333333333331
143.0,23.0,74.51999999999998
144.0,23.0,74.68666666666664
145.0,23.0,74.85333333333331
146.0,23.0,75.01999999999997
147.0,23.0,75.18666666666664
148.0,23.0,75.35333333333331
149.0,23.0,75.51999999999997
150.0,23.0,75.68666666666664
151.0,23.0,75.8533333333333
152.0,23.0,76.01999999999997
153.0,23.0,76.18666666666664
154.0,23.0,76.3533333333333
155.0,23.0,76.51999999999997
156.0,23.0,76.68666666666664
157.0,23.0,76.8533333333333
158.0,23.0,77.01999999999997
159.0,23.0,77.18666666666664
160.0,23.0,77.3533333333333
161.0,23.0,77.51999999999997
162.0,23.0,77.68666666666664
163.0,23.0,77.8533333333333
164.0,23.0,78.01999999999997
165.0,23.0,78.18666666666664
166.0,23.0,78.35333333333331
167.0,23.0,78.51999999999998
168.0,23.0,78.68666666666664
169.0,23.0,78.85333333333331
170.0,23.0,79.01999999999998
171.0,23.0,79.18666666666665
172.0,23.0,79.35333333333332
173.0,23.0,79.51999999999998
174.0,23.0,79.68666666666667
175.0,23.0,79.85333333333332
176.0,23.0,80.02
177.0,23.0,80.18666666666667
178.0,23.0,80.35333333333334
179.0,23.0,80.52000000000001
180.0,23.0,80.68666666666668
181.0,23.0,80.85333333333335
182.0,23.0,81.02000000000001
183.0,23.0,81.1866666666667
184.0,23.0,81.35333333333335
185.0,23.0,81.52000000000002
186.0,23.0,81.6866666666667
187.0,23.0,81.85333333333337
188.0,23.0,82.02000000000004
189.0,23.0,82.18666666666671
190.0,23.0,82.35333333333338
191.0,23.0,82.52000000000004
192.0,23.0,82.68666666666671
193.0,23.0,82.85333333333338
194.0,23.0,83.02000000000005
195.0,23.0,83.18666666666672
196.0,23.0,83.35333333333338
197.0,23.0,83.52000000000007
198.0,23.0,83.68666666666672
199.0,23.0,83.85333333333341
200.0,23.0,84.02000000000007
201.0,23.0,84.18666666666674
202.0,23.0,84.35333333333341
203.0,23.0,84.52000000000007
204.0,23.0,84.68666666666675
205.0,23.0,84.85333333333341
206.0,23.0,85.0200000000001
207.0,23.0,85.18666666666675
208.0,23.0,85.35333333333342
209.0,23.0,85.5200000000001
210.0,23.0,85.68666666666677
211.0,23.0,85.85333333333344
212.0,23.0,86.0200000000001
213.0,23.0,86.18666666666678
214.0,23.0,86.35333333333344
215.0,23.0,86.52000000000011
216.0,23.0,86.68666666666678
217.0,23.0,86.85333333333345
218.0,23.0,87.02000000000012
219.0,23.0,87.18666666666678
220.0,23.0,87.35333333333347
221.0,23.0,87.52000000000012
222.0,23.0,87.68666666666681
223.0,23.0,87.85333333333347
224.0,23.0,88.02000000000014
225.0,23.0,88.18666666666681
226.0,23.0,88.35333333333347
227.0,23.0,88.52000000000015
228.0,23.0,88.68666666666681
229.0,23.0,88.8533333333335
230.0,23.0,89.02000000000015
231.0,23.0,89.18666666666682
232.0,23.0,89.3533333333335
233.0,23.0,89.52000000000017
234.0,23.0,89.68666666666684
235.0,23.0,89.8533333333335
236.0,23.0,90.02000000000018
237.0,23.0,90.18666666666684
238.0,22.807555179195667,90.35193880564653
239.0,22.42444350540222,90.51443477307697
240.0,22.047767179608314,90.67420120191471
241.0,21.677418103557724,90.83128394179556
242.0,21.313289994783055,90.98572807219256
243.0,20.955278356104895,91.13757791535272
244.0,20.603280445643275,91.28687704901681
245.0,20.257195247332923,91.43366831892502
246.0,19.916923441933744,91.57799385111295
247.0,19.582367378528254,91.71989506400084
248.0,19.25343104649781,91.8594126802798
249.0,18.930020047969617,91.99658673859841
250.0,18.612041570726408,92.13145660505296
251.0,18.299404361571327,92.26406098448464
252.0,17.99201870014017,92.3944379315871
253.0,17.689796373153488,92.52262486182735
254.0,17.39265064910122,92.64865856218316
255.0,17.10049625335257,92.77257520170019
256.0,16.813249343683953,92.89441034187183
257.0,16.530827486218016,93.01419894684442
258.0,16.253149631766842,93.13197539345143
259.0,15.980136092572543,93.24777348107875
260.0,15.711708519438487,93.36162644136454
261.0,15.447789879244752,93.47356694773589
262.0,15.188304432841216,93.58362712478547
263.0,14.933177713311965,93.69183855749063
264.0,14.682336504604928,93.79823230027762
265.0,14.43570882052028,93.90283888593356
266.0,14.193223884051985,94.00568833436873
